"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
" ","75-79 years",1584,1419
" ","80-84 years",1077,1122
" ","85-89 years",579,699
" ","90-94 years",171,252
" ","95-99 years",45,63
" ","100 years and over",3,12
" ","Less than 1 year",819,546
" ","1 year",87,66
" ","2 years",36,39
" ","3 years",30,24
" ","4 years",15,21
" ","5 years",18,9
" ","6 years",21,9
" ","7 years",18,12
" ","8 years",15,3
" ","9 years",12,9
" ","10 years",18,6
" ","11 years",9,9
" ","12 years",9,6
" ","13 years",9,9
" ","14 years",15,12
" ","15 years",12,9
" ","16 years",24,12
" ","17 years",21,9
" ","18 years",27,9
" ","19 years",21,9
" ","20 years",30,9
" ","21 years",24,12
" ","22 years",24,12
" ","23 years",33,15
" ","24 years",18,15
" ","25 years",24,6
" ","26 years",24,12
" ","27 years",24,18
" ","28 years",27,12
" ","29 years",24,9
" ","30 years",30,12
" ","31 years",18,18
" ","32 years",27,9
" ","33 years",21,15
" ","34 years",24,18
" ","35 years",36,24
" ","36 years",33,18
" ","37 years",27,24
" ","38 years",30,24
" ","39 years",48,24
" ","40 years",33,33
" ","41 years",36,27
" ","42 years",45,33
" ","43 years",45,33
" ","44 years",48,36
" ","45 years",57,48
" ","46 years",60,48
" ","47 years",75,51
" ","48 years",60,54
" ","49 years",81,57
" ","50 years",75,66
" ","51 years",102,63
" ","52 years",99,78
" ","53 years",108,66
" ","54 years",126,93
" ","55 years",144,90
" ","56 years",129,72
" ","57 years",129,66
" ","58 years",135,87
" ","59 years",144,102
" ","60 years",147,105
" ","61 years",171,84
" ","62 years",177,120
" ","63 years",150,141
" ","64 years",216,141
" ","65 years",234,174
" ","66 years",219,162
" ","67 years",255,174
" ","68 years",273,219
" ","69 years",261,201
" ","70 years",297,210
" ","71 years",276,222
" ","72 years",321,243
" ","73 years",309,261
" ","74 years",360,252
" ","75 years",333,315
" ","76 years",315,303
" ","77 years",300,279
" ","78 years",333,273
" ","79 years",303,252
" ","80 years",264,252
" ","81 years",210,210
" ","82 years",207,222
" ","83 years",189,201
" ","84 years",207,231
" ","85 years",156,192
" ","86 years",132,144
" ","87 years",114,135
" ","88 years",96,114
" ","89 years",81,111
" ","90 years",57,96
" ","91 years",42,48
" ","92 years",24,36
" ","93 years",33,42
" ","94 years",15,30
" ","95 years",12,18
" ","96 years",15,15
" ","97 years",9,12
" ","98 years",6,9
" ","99 years",6,9
" ","100 years and over",6,9
" ","Median age at death",68.9,72.1
1956,"Total all ages",10974,8724
" ","Neonatal",462,333
" ","Post-neonatal",267,252
" ","Infant",729,582
" ","1-4 years",156,162
" ","5-9 years",75,42
" ","10-14 years",63,42
" ","15-19 years",93,36
" ","20-24 years",126,42
" ","25-29 years",132,54
" ","30-34 years",144,78
" ","35-39 years",141,138
" ","40-44 years",228,183
" ","45-49 years",324,228
" ","50-54 years",492,303
" ","55-59 years",702,447
" ","60-64 years",846,567
" ","65-69 years",1251,885
" ","70-74 years",1590,1164
" ","75-79 years",1689,1449
" ","80-84 years",1239,1191
" ","85-89 years",690,804
" ","90-94 years",207,264
" ","95-99 years",54,63
" ","100 years and over",6,6
" ","Less than 1 year",729,585
" ","1 year",63,63
" ","2 years",39,42
" ","3 years",33,36
" ","4 years",24,21
" ","5 years",24,6
" ","6 years",18,9
" ","7 years",18,9
" ","8 years",9,12
" ","9 years",6,6
" ","10 years",15,6
" ","11 years",12,6
" ","12 years",15,15
" ","13 years",12,6
" ","14 years",9,9
" ","15 years",21,9
" ","16 years",9,6
" ","17 years",18,9
" ","18 years",21,6
" ","19 years",24,9
" ","20 years",24,9
" ","21 years",27,6
" ","22 years",30,3
" ","23 years",30,9
" ","24 years",15,12
" ","25 years",30,6
" ","26 years",21,12
" ","27 years",27,15
" ","28 years",30,12
" ","29 years",24,9
" ","30 years",36,12
" ","31 years",27,9
" ","32 years",30,9
" ","33 years",27,18
" ","34 years",27,21
" ","35 years",21,30
" ","36 years",30,24
" ","37 years",27,30
" ","38 years",24,27
" ","39 years",39,24
" ","40 years",45,42
" ","41 years",36,27
" ","42 years",51,30
" ","43 years",45,42
" ","44 years",54,36
" ","45 years",57,42
" ","46 years",60,36
" ","47 years",57,39
" ","48 years",84,48
" ","49 years",69,60
" ","50 years",99,57
" ","51 years",84,54
" ","52 years",96,57
" ","53 years",93,69
" ","54 years",114,66
" ","55 years",120,60
" ","56 years",135,81
" ","57 years",147,90
" ","58 years",138,105
" ","59 years",159,108
" ","60 years",177,87
" ","61 years",132,81
" ","62 years",153,108
" ","63 years",192,126
" ","64 years",195,168
" ","65 years",231,156
" ","66 years",207,141
" ","67 years",249,183
" ","68 years",276,204
" ","69 years",285,198
" ","70 years",297,189
" ","71 years",264,222
