"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
" ","50 years",126,69
" ","51 years",117,90
" ","52 years",150,84
" ","53 years",144,66
" ","54 years",165,87
" ","55 years",177,114
" ","56 years",183,123
" ","57 years",201,108
" ","58 years",198,111
" ","59 years",234,147
" ","60 years",240,141
" ","61 years",264,162
" ","62 years",255,168
" ","63 years",339,153
" ","64 years",324,189
" ","65 years",375,192
" ","66 years",357,183
" ","67 years",396,225
" ","68 years",357,234
" ","69 years",399,243
" ","70 years",423,252
" ","71 years",399,258
" ","72 years",432,315
" ","73 years",426,279
" ","74 years",414,312
" ","75 years",420,330
" ","76 years",450,369
" ","77 years",312,300
" ","78 years",321,351
" ","79 years",330,315
" ","80 years",282,345
" ","81 years",255,312
" ","82 years",261,327
" ","83 years",249,369
" ","84 years",258,336
" ","85 years",204,276
" ","86 years",240,354
" ","87 years",192,288
" ","88 years",156,252
" ","89 years",132,255
" ","90 years",120,195
" ","91 years",105,159
" ","92 years",84,141
" ","93 years",54,117
" ","94 years",51,93
" ","95 years",24,84
" ","96 years",33,75
" ","97 years",21,42
" ","98 years",15,45
" ","99 years",9,12
" ","100 years and over",6,33
" ","Median age at death",69.2,75.1
1977,"Total all ages",14316,11646
" ","Neonatal",255,177
" ","Post-neonatal",216,123
" ","Infant",471,300
" ","1-4 years",111,75
" ","5-9 years",66,63
" ","10-14 years",75,45
" ","15-19 years",297,111
" ","20-24 years",279,90
" ","25-29 years",207,93
" ","30-34 years",165,96
" ","35-39 years",183,114
" ","40-44 years",264,195
" ","45-49 years",459,297
" ","50-54 years",711,426
" ","55-59 years",999,558
" ","60-64 years",1422,840
" ","65-69 years",1884,1137
" ","70-74 years",2097,1443
" ","75-79 years",1920,1632
" ","80-84 years",1365,1677
" ","85-89 years",855,1443
" ","90-94 years",369,753
" ","95-99 years",111,222
" ","100 years and over",12,36
" ","Less than 1 year",471,300
" ","1 year",39,27
" ","2 years",24,21
" ","3 years",27,15
" ","4 years",24,12
" ","5 years",18,18
" ","6 years",9,12
" ","7 years",18,9
" ","8 years",12,12
" ","9 years",9,9
" ","10 years",9,12
" ","11 years",12,6
" ","12 years",12,9
" ","13 years",21,3
" ","14 years",18,15
" ","15 years",33,15
" ","16 years",54,27
" ","17 years",63,24
" ","18 years",84,27
" ","19 years",63,15
" ","20 years",78,15
" ","21 years",69,12
" ","22 years",51,18
" ","23 years",39,24
" ","24 years",39,21
" ","25 years",42,18
" ","26 years",36,15
" ","27 years",42,15
" ","28 years",45,24
" ","29 years",45,21
" ","30 years",30,21
" ","31 years",36,12
" ","32 years",36,18
" ","33 years",33,27
" ","34 years",30,18
" ","35 years",30,21
" ","36 years",51,24
" ","37 years",30,24
" ","38 years",36,24
" ","39 years",39,21
" ","40 years",48,27
" ","41 years",42,30
" ","42 years",60,39
" ","43 years",60,51
" ","44 years",54,48
" ","45 years",60,42
" ","46 years",75,60
" ","47 years",96,66
" ","48 years",105,69
" ","49 years",117,60
" ","50 years",123,81
" ","51 years",114,69
" ","52 years",150,72
" ","53 years",153,81
" ","54 years",168,120
" ","55 years",162,90
" ","56 years",201,123
" ","57 years",192,126
" ","58 years",198,93
" ","59 years",243,126
" ","60 years",243,159
" ","61 years",246,138
" ","62 years",285,174
" ","63 years",300,189
" ","64 years",348,186
" ","65 years",360,201
" ","66 years",357,222
" ","67 years",369,231
" ","68 years",420,237
" ","69 years",378,249
" ","70 years",390,264
" ","71 years",411,270
" ","72 years",432,270
" ","73 years",435,312
" ","74 years",432,330
" ","75 years",381,294
" ","76 years",426,321
" ","77 years",420,375
" ","78 years",357,312
" ","79 years",336,327
" ","80 years",297,330
" ","81 years",273,321
" ","82 years",285,363
" ","83 years",243,327
" ","84 years",267,339
" ","85 years",198,312
" ","86 years",192,339
" ","87 years",186,285
" ","88 years",159,252
" ","89 years",120,252
" ","90 years",120,207
" ","91 years",93,195
" ","92 years",72,129
" ","93 years",51,126
" ","94 years",36,102
" ","95 years",39,84
" ","96 years",27,48
" ","97 years",15,42
" ","98 years",21,30
" ","99 years",9,18
" ","100 years and over",15,36
" ","Median age at death",68.9,74.8
1978,"Total all ages",13599,11070
" ","Neonatal",219,156
" ","Post-neonatal",201,123
" ","Infant",420,279
" ","1-4 years",93,66
" ","5-9 years",57,42
" ","10-14 years",69,36
" ","15-19 years",234,96
" ","20-24 years",246,66
" ","25-29 years",174,72
" ","30-34 years",135,93
" ","35-39 years",189,108
" ","40-44 years",240,183
" ","45-49 years",444,288
" ","50-54 years",684,405
" ","55-59 years",981,546
" ","60-64 years",1419,771
" ","65-69 years",1815,1080
" ","70-74 years",2139,1377
" ","75-79 years",1821,1623
" ","80-84 years",1191,1602
" ","85-89 years",810,1359
" ","90-94 years",351,750
" ","95-99 years",72,198
" ","100 years and over",9,27
" ","Less than 1 year",420,282
" ","1 year",27,18
" ","2 years",24,18
" ","3 years",21,15
" ","4 years",21,15
" ","5 years",9,12
" ","6 years",12,6
" ","7 years",12,6
" ","8 years",12,9
" ","9 years",9,9
" ","10 years",12,9
" ","11 years",6,9
" ","12 years",9,3
" ","13 years",18,3
" ","14 years",24,12
" ","15 years",24,15
" ","16 years",39,27
" ","17 years",60,27
" ","18 years",60,15
" ","19 years",54,15
" ","20 years",51,18
" ","21 years",57,12
" ","22 years",54,15
" ","23 years",42,12
" ","24 years",39,12
" ","25 years",39,12
" ","26 years",33,12
" ","27 years",36,15
" ","28 years",33,18
" ","29 years",33,12
" ","30 years",21,18
" ","31 years",39,18
" ","32 years",24,18
" ","33 years",18,30
" ","34 years",30,12
" ","35 years",39,15
" ","36 years",36,18
" ","37 years",36,27
" ","38 years",39,30
" ","39 years",36,24
" ","40 years",39,36
" ","41 years",45,27
" ","42 years",36,30
" ","43 years",54,48
" ","44 years",63,45
" ","45 years",57,33
" ","46 years",87,57
" ","47 years",99,60
" ","48 years",93,66
" ","49 years",105,72
" ","50 years",105,72
" ","51 years",108,75
" ","52 years",144,93
" ","53 years",153,81
" ","54 years",171,87
" ","55 years",174,78
" ","56 years",171,102
" ","57 years",216,105
" ","58 years",225,129
" ","59 years",195,135
" ","60 years",213,120
" ","61 years",246,144
" ","62 years",291,153
" ","63 years",324,177
" ","64 years",342,177
" ","65 years",336,189
" ","66 years",345,210
" ","67 years",345,201
" ","68 years",372,246
" ","69 years",420,237
" ","70 years",411,249
" ","71 years",408,258
" ","72 years",444,267
" ","73 years",450,303
" ","74 years",426,300
" ","75 years",414,297
" ","76 years",342,288
" ","77 years",384,363
" ","78 years",360,351
" ","79 years",318,321
" ","80 years",279,342
" ","81 years",246,303
" ","82 years",228,339
" ","83 years",237,309
" ","84 years",201,309
" ","85 years",192,312
" ","86 years",165,297
" ","87 years",150,255
" ","88 years",162,255
" ","89 years",144,243
" ","90 years",99,207
" ","91 years",72,153
" ","92 years",66,165
" ","93 years",69,141
" ","94 years",48,87
" ","95 years",24,72
" ","96 years",18,45
" ","97 years",12,39
" ","98 years",15,30
" ","99 years",3,15
" ","100 years and over",12,24
" ","Median age at death",69.0,75.1
1979,"Total all ages",13944,11397
" ","Neonatal",216,129
" ","Post-neonatal",180,129
" ","Infant",393,261
" ","1-4 years",84,69
" ","5-9 years",54,45
" ","10-14 years",63,39
" ","15-19 years",240,78
" ","20-24 years",219,81
" ","25-29 years",159,84
" ","30-34 years",162,69
" ","35-39 years",171,114
" ","40-44 years",237,147
" ","45-49 years",420,246
" ","50-54 years",720,384
" ","55-59 years",999,555
" ","60-64 years",1383,780
" ","65-69 years",1851,1134
" ","70-74 years",2142,1506
" ","75-79 years",2055,1680
" ","80-84 years",1392,1671
" ","85-89 years",780,1395
" ","90-94 years",324,780
" ","95-99 years",87,240
" ","100 years and over",6,42
" ","Less than 1 year",393,261
" ","1 year",33,27
" ","2 years",21,18
" ","3 years",12,9
" ","4 years",15,15
" ","5 years",15,6
" ","6 years",9,12
" ","7 years",12,9
" ","8 years",12,12
" ","9 years",6,6
" ","10 years",9,3
" ","11 years",9,9
" ","12 years",12,6
" ","13 years",15,12
" ","14 years",15,6
" ","15 years",33,9
" ","16 years",27,18
" ","17 years",57,21
" ","18 years",60,18
" ","19 years",60,18
" ","20 years",60,18
" ","21 years",51,18
" ","22 years",48,12
" ","23 years",30,15
" ","24 years",30,15
" ","25 years",27,27
" ","26 years",45,12
" ","27 years",36,12
" ","28 years",24,24
" ","29 years",27,15
" ","30 years",33,18
" ","31 years",30,21
" ","32 years",39,9
" ","33 years",30,9
" ","34 years",27,9
" ","35 years",24,15
" ","36 years",33,9
" ","37 years",39,33
" ","38 years",42,30
" ","39 years",27,27
" ","40 years",45,30
" ","41 years",39,24
" ","42 years",51,30
" ","43 years",42,24
" ","44 years",60,39
" ","45 years",69,45
" ","46 years",72,39
" ","47 years",84,48
" ","48 years",84,63
" ","49 years",108,51
" ","50 years",105,69
" ","51 years",141,69
" ","52 years",138,66
" ","53 years",168,84
" ","54 years",165,93
" ","55 years",162,99
" ","56 years",189,84
" ","57 years",192,99
" ","58 years",222,144
" ","59 years",234,132
" ","60 years",252,138
" ","61 years",252,129
" ","62 years",270,165
" ","63 years",267,174
" ","64 years",342,177
" ","65 years",348,210
" ","66 years",330,201
" ","67 years",399,246
" ","68 years",399,243
" ","69 years",375,234
" ","70 years",387,258
" ","71 years",441,294
" ","72 years",432,282
" ","73 years",444,297
" ","74 years",438,372
" ","75 years",396,315
" ","76 years",438,315
" ","77 years",393,339
" ","78 years",432,354
" ","79 years",393,354
" ","80 years",348,342
" ","81 years",282,336
" ","82 years",273,348
" ","83 years",270,333
" ","84 years",219,312
" ","85 years",174,294
" ","86 years",213,321
" ","87 years",150,294
" ","88 years",132,252
" ","89 years",114,231
" ","90 years",96,225
" ","91 years",84,207
" ","92 years",69,132
" ","93 years",45,126
" ","94 years",36,84
" ","95 years",36,81
" ","96 years",21,60
" ","97 years",18,45
" ","98 years",9,30
" ","99 years",6,27
" ","100 years and over",6,42
" ","Median age at death",69.5,75.3
1980,"Total all ages",14322,12357
" ","Neonatal",177,117
" ","Post-neonatal",183,174
" ","Infant",360,291
" ","1-4 years",75,63
" ","5-9 years",57,36
" ","10-14 years",57,42
" ","15-19 years",207,99
" ","20-24 years",243,102
" ","25-29 years",207,81
" ","30-34 years",156,99
" ","35-39 years",165,108
" ","40-44 years",210,156
" ","45-49 years",345,285
" ","50-54 years",633,369
" ","55-59 years",996,597
" ","60-64 years",1353,801
" ","65-69 years",1908,1278
" ","70-74 years",2175,1533
" ","75-79 years",2175,1830
" ","80-84 years",1548,1869
" ","85-89 years",906,1494
" ","90-94 years",426,927
" ","95-99 years",108,267
" ","100 years and over",12,33
" ","Less than 1 year",360,291
" ","1 year",36,24
" ","2 years",12,18
" ","3 years",15,9
" ","4 years",12,12
" ","5 years",9,12
" ","6 years",12,6
" ","7 years",9,6
" ","8 years",15,6
" ","9 years",12,9
" ","10 years",9,6
" ","11 years",9,6
" ","12 years",9,9
" ","13 years",9,12
" ","14 years",21,9
" ","15 years",21,15
" ","16 years",27,18
" ","17 years",48,21
" ","18 years",57,24
" ","19 years",54,24
" ","20 years",60,18
" ","21 years",60,24
" ","22 years",42,18
" ","23 years",45,27
" ","24 years",30,12
" ","25 years",45,12
" ","26 years",36,24
" ","27 years",45,24
" ","28 years",45,15
" ","29 years",36,9
" ","30 years",30,24
" ","31 years",39,9
" ","32 years",27,21
" ","33 years",30,24
" ","34 years",27,18
" ","35 years",27,24
" ","36 years",30,21
" ","37 years",33,21
" ","38 years",33,24
" ","39 years",39,21
" ","40 years",42,24
" ","41 years",45,30
" ","42 years",42,27
" ","43 years",36,42
" ","44 years",48,33
" ","45 years",63,51
" ","46 years",57,48
" ","47 years",63,57
" ","48 years",78,63
" ","49 years",87,69
" ","50 years",99,63
" ","51 years",102,57
" ","52 years",123,84
" ","53 years",156,75
" ","54 years",153,87
" ","55 years",153,99
" ","56 years",204,108
" ","57 years",186,126
" ","58 years",210,120
" ","59 years",240,141
" ","60 years",240,156
" ","61 years",222,132
" ","62 years",288,144
" ","63 years",300,192
" ","64 years",297,183
" ","65 years",351,234
" ","66 years",366,240
" ","67 years",381,252
" ","68 years",387,294
" ","69 years",420,261
" ","70 years",429,294
" ","71 years",417,276
" ","72 years",435,306
" ","73 years",459,330
" ","74 years",435,330
" ","75 years",459,363
" ","76 years",483,348
" ","77 years",408,366
" ","78 years",396,357
" ","79 years",426,393
" ","80 years",360,429
" ","81 years",324,348
" ","82 years",333,375
" ","83 years",291,375
" ","84 years",240,342
" ","85 years",252,342
" ","86 years",186,324
" ","87 years",183,306
" ","88 years",150,282
" ","89 years",135,243
" ","90 years",105,237
" ","91 years",111,204
" ","92 years",87,225
" ","93 years",63,156
" ","94 years",60,108
" ","95 years",39,87
" ","96 years",27,63
" ","97 years",24,54
" ","98 years",15,36
" ","99 years",3,27
" ","100 years and over",12,33
" ","Median age at death",70.4,75.7
1981,"Total all ages",13671,11481
" ","Neonatal",162,120
" ","Post-neonatal",177,132
" ","Infant",339,252
" ","1-4 years",99,63
" ","5-9 years",51,27
" ","10-14 years",57,42
" ","15-19 years",219,99
" ","20-24 years",234,93
" ","25-29 years",144,75
" ","30-34 years",177,78
" ","35-39 years",159,102
" ","40-44 years",255,174
" ","45-49 years",381,222
" ","50-54 years",633,357
" ","55-59 years",1023,546
" ","60-64 years",1287,744
" ","65-69 years",1827,1161
" ","70-74 years",2127,1431
" ","75-79 years",1968,1641
" ","80-84 years",1407,1773
" ","85-89 years",813,1467
" ","90-94 years",366,852
" ","95-99 years",90,249
" ","100 years and over",15,36
" ","Less than 1 year",342,252
" ","1 year",39,21
" ","2 years",27,24
" ","3 years",12,6
" ","4 years",18,9
" ","5 years",12,3
" ","6 years",12,9
" ","7 years",9,3
" ","8 years",9,9
" ","9 years",9,3
" ","10 years",6,6
" ","11 years",12,6
" ","12 years",9,6
" ","13 years",9,6
" ","14 years",21,12
" ","15 years",27,21
" ","16 years",33,18
" ","17 years",48,24
" ","18 years",60,21
" ","19 years",51,18
" ","20 years",57,21
" ","21 years",54,15
" ","22 years",51,24
" ","23 years",39,18
" ","24 years",33,15
" ","25 years",39,18
" ","26 years",21,12
" ","27 years",33,15
" ","28 years",18,9
" ","29 years",33,21
" ","30 years",33,12
" ","31 years",36,15
" ","32 years",39,15
" ","33 years",36,15
" ","34 years",33,21
" ","35 years",24,18
" ","36 years",24,24
" ","37 years",36,12
" ","38 years",33,24
" ","39 years",39,21
" ","40 years",45,36
" ","41 years",51,27
" ","42 years",42,30
" ","43 years",63,45
" ","44 years",54,36
" ","45 years",54,33
" ","46 years",72,42
" ","47 years",72,39
" ","48 years",84,63
" ","49 years",102,48
" ","50 years",108,57
" ","51 years",93,63
" ","52 years",129,69
" ","53 years",156,78
" ","54 years",150,90
" ","55 years",165,87
" ","56 years",222,108
" ","57 years",195,105
" ","58 years",225,117
" ","59 years",216,132
" ","60 years",252,114
" ","61 years",237,159
" ","62 years",246,138
" ","63 years",252,174
" ","64 years",297,159
" ","65 years",336,192
" ","66 years",324,240
" ","67 years",387,231
" ","68 years",384,249
" ","69 years",396,249
" ","70 years",408,273
" ","71 years",387,270
" ","72 years",432,294
" ","73 years",447,279
" ","74 years",453,315
" ","75 years",426,333
" ","76 years",408,351
" ","77 years",387,300
" ","78 years",384,342
" ","79 years",366,315
" ","80 years",372,363
" ","81 years",336,351
" ","82 years",258,387
" ","83 years",222,321
" ","84 years",222,348
" ","85 years",192,348
" ","86 years",189,300
" ","87 years",159,276
" ","88 years",168,288
" ","89 years",108,252
" ","90 years",114,237
" ","91 years",72,204
" ","92 years",66,174
" ","93 years",69,120
" ","94 years",42,114
" ","95 years",33,84
" ","96 years",21,75
" ","97 years",18,42
" ","98 years",15,33
" ","99 years",6,15
" ","100 years and over",12,39
" ","Median age at death",69.9,75.8
1982,"Total all ages",13830,11700
" ","Neonatal",141,123
" ","Post-neonatal",195,129
" ","Infant",333,255
" ","1-4 years",69,63
" ","5-9 years",45,36
" ","10-14 years",48,27
" ","15-19 years",210,78
" ","20-24 years",261,84
