"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","",""
"","","As at",""
" "," ","Male","Female"
" ","80-84 Years",42700,52460
" ","85-89 Years",22970,32360
" ","Under 15 Years",496400,470300
" ","Under 16 Years",528500,500900
" ","Under 18 Years",593100,562000
" ","Under 20 Years",660300,625600
" ","15-39 Years",888400,862800
" ","15-49 Years",1202900,1188100
" ","15-59 Years",1519800,1522400
" ","40-64 Years",771300,808300
" ","15-64 Years",1659600,1671100
" ","15 Years and Over",2027100,2089000
" ","16 Years and Over",1995000,2058500
" ","18 Years and Over",1930500,1997300
" ","20 Years and Over",1863200,1933700
" ","90-94 Years",8960,16150
" ","60 Years and Over",507400,566600
" ","65 Years and Over",367500,417900
" ","75 Years and Over",145300,182900
" ","80 Years and Over",76800,106400
" ","85 Years and Over",34000,53900
" ","90 Years and Over",11080,21590
" ","95 Years and Over",2120,5440
" ","Median Age (Years)",36.3,38.4
" ","Total All Ages",2523500,2559300
"2020Q2","0 Years",30270,29110
" ","1 Years",31000,29070
" ","2 Years",31170,29620
" ","3 Years",32030,30590
" ","4 Years",32450,30510
" ","5 Years",32930,31010
" ","6 Years",33170,31070
" ","7 Years",33730,32360
" ","8 Years",34190,32640
" ","9 Years",34580,32910
" ","10 Years",35080,33210
" ","11 Years",34860,32400
" ","12 Years",34620,32870
" ","13 Years",33880,31970
" ","14 Years",32330,30790
" ","15 Years",31890,30420
" ","16 Years",32200,30740
" ","17 Years",32560,30470
" ","18 Years",32470,31110
" ","19 Years",34060,32010
" ","20 Years",34620,32340
" ","21 Years",33980,31680
" ","22 Years",35110,32610
" ","23 Years",35510,33250
" ","24 Years",37010,34070
" ","25 Years",37530,35060
" ","26 Years",37880,35920
" ","27 Years",39570,37760
" ","28 Years",40410,39010
" ","29 Years",40540,39860
" ","30 Years",39930,39610
" ","31 Years",38180,38280
" ","32 Years",37410,38180
" ","33 Years",36240,35940
" ","34 Years",34700,35280
" ","35 Years",33960,34970
" ","36 Years",33820,34400
" ","37 Years",33470,33840
" ","38 Years",32720,33200
" ","39 Years",32050,32260
" ","40 Years",31510,31970
" ","41 Years",30850,31650
" ","42 Years",29850,30680
" ","43 Years",30210,30780
" ","44 Years",30090,30560
" ","45 Years",30650,31890
" ","46 Years",31580,33140
" ","47 Years",32740,33840
" ","48 Years",33620,35060
" ","49 Years",33490,35450
" ","50 Years",32750,33960
" ","51 Years",32640,34130
" ","52 Years",31770,33490
" ","53 Years",31070,32740
" ","54 Years",30940,32270
" ","55 Years",31300,32800
" ","56 Years",31890,33680
" ","57 Years",32170,34450
" ","58 Years",31800,33900
" ","59 Years",30770,33070
" ","60 Years",29880,31640
" ","61 Years",29330,31070
" ","62 Years",27940,29930
" ","63 Years",27170,28950
" ","64 Years",26470,28200
" ","65 Years",25600,27390
" ","66 Years",24800,26400
" ","67 Years",23890,25350
" ","68 Years",23350,24560
" ","69 Years",22680,23610
" ","70 Years",22200,23470
" ","71 Years",21680,22510
" ","72 Years",21290,22690
" ","73 Years",20780,22130
" ","74 Years",17240,18580
" ","75 Years",15820,17240
" ","76 Years",14820,15990
" ","77 Years",12630,14040
" ","78 Years",13460,15370
" ","79 Years",12590,14550
" ","80 Years",11120,13050
" ","81 Years",9580,11620
" ","82 Years",8550,10600
" ","83 Years",7600,9490
" ","84 Years",6600,8560
" ","85 Years",5960,7710
" ","86 Years",5230,7150
" ","87 Years",4440,6450
" ","88 Years",3940,5750
" ","89 Years",3480,5270
" ","90 Years",2800,4620
" ","91 Years",2290,3890
" ","92 Years",1710,3130
" ","93 Years",1350,2550
" ","94 Years",930,2070
" ","0-4 Years",156920,148910
" ","5-9 Years",168600,159990
" ","10-14 Years",170780,161240
" ","15-19 Years",163180,154750
" ","20-24 Years",176220,163950
" ","25-29 Years",195930,187610
" ","30-34 Years",186450,187300
" ","35-39 Years",166020,168660
" ","40-44 Years",152520,155640
" ","45-49 Years",162080,169380
" ","50-54 Years",159180,166580
" ","55-59 Years",157930,167900
" ","60-64 Years",140790,149780
" ","65-69 Years",120320,127310
" ","70-74 Years",103180,109370
" ","75-79 Years",69320,77190
" ","80-84 Years",43460,53310
" ","85-89 Years",23060,32340
" ","Under 15 Years",496300,470100
" ","Under 16 Years",528200,500600
" ","Under 18 Years",593000,561800
" ","Under 20 Years",659500,624900
" ","15-39 Years",887800,862300
" ","15-49 Years",1202400,1187300
" ","15-59 Years",1519500,1521800
" ","40-64 Years",772500,809300
" ","15-64 Years",1660300,1671600
" ","15 Years and Over",2030900,2092900
" ","16 Years and Over",1999000,2062500
" ","18 Years and Over",1934200,2001300
" ","20 Years and Over",1867700,1938100
" ","90-94 Years",9070,16260
" ","60 Years and Over",511400,571100
" ","65 Years and Over",370600,421300
" ","75 Years and Over",147100,184600
" ","80 Years and Over",77800,107500
" ","85 Years and Over",34300,54100
" ","90 Years and Over",11240,21810
" ","95 Years and Over",2160,5550
" ","Median Age (Years)",36.3,38.4
" ","Total All Ages",2527200,2563000
"2020Q3","0 Years",30310,28820
" ","1 Years",30990,29400
" ","2 Years",31100,29390
" ","3 Years",31870,30140
" ","4 Years",32610,30870
" ","5 Years",32730,31070
" ","6 Years",33140,30990
" ","7 Years",33500,32000
" ","8 Years",34290,32700
" ","9 Years",34460,32790
" ","10 Years",35130,33280
" ","11 Years",34860,32580
" ","12 Years",34760,32930
" ","13 Years",34270,32440
" ","14 Years",32670,30910
" ","15 Years",31810,30510
" ","16 Years",32370,30740
" ","17 Years",32350,30370
" ","18 Years",32380,30720
" ","19 Years",33360,31840
" ","20 Years",34850,32170
" ","21 Years",33810,31880
" ","22 Years",34610,32180
" ","23 Years",35330,33080
" ","24 Years",36480,33540
" ","25 Years",37450,34800
" ","26 Years",37570,35600
" ","27 Years",38850,37230
" ","28 Years",40410,38550
" ","29 Years",40190,39840
" ","30 Years",40240,39870
" ","31 Years",38490,38420
" ","32 Years",37620,38320
" ","33 Years",36790,36670
" ","34 Years",34820,35550
" ","35 Years",34380,35030
" ","36 Years",33650,34540
" ","37 Years",33470,33950
" ","38 Years",33030,33420
" ","39 Years",32220,32620
" ","40 Years",31770,32220
" ","41 Years",31110,31570
" ","42 Years",30040,30870
" ","43 Years",30070,30890
" ","44 Years",30200,30490
" ","45 Years",30360,31780
" ","46 Years",31460,32600
" ","47 Years",32120,33710
" ","48 Years",33630,34820
" ","49 Years",33720,35460
" ","50 Years",32840,34300
" ","51 Years",32700,34330
" ","52 Years",31990,33620
" ","53 Years",31290,32820
" ","54 Years",30960,32290
" ","55 Years",31030,32740
" ","56 Years",31800,33290
" ","57 Years",32230,34480
" ","58 Years",31900,33950
" ","59 Years",31050,33430
" ","60 Years",30040,31900
" ","61 Years",29360,31160
" ","62 Years",28190,30110
" ","63 Years",27500,29300
" ","64 Years",26670,28320
" ","65 Years",25720,27740
" ","66 Years",25130,26540
" ","67 Years",23900,25510
" ","68 Years",23540,24800
" ","69 Years",22780,23680
" ","70 Years",22100,23520
" ","71 Years",21880,22610
" ","72 Years",21180,22540
" ","73 Years",21010,22450
" ","74 Years",17880,19170
" ","75 Years",16160,17700
" ","76 Years",14830,16120
" ","77 Years",12860,14280
" ","78 Years",13330,15040
" ","79 Years",12680,14660
" ","80 Years",11420,13470
" ","81 Years",9840,11780
" ","82 Years",8760,10880
" ","83 Years",7570,9650
" ","84 Years",6810,8750
" ","85 Years",5930,7640
" ","86 Years",5370,7200
" ","87 Years",4410,6590
" ","88 Years",3930,5750
" ","89 Years",3490,5180
" ","90 Years",2890,4700
" ","91 Years",2280,3890
" ","92 Years",1730,3140
" ","93 Years",1400,2630
" ","94 Years",960,2060
" ","0-4 Years",156890,148630
" ","5-9 Years",168120,159560
" ","10-14 Years",171680,162150
" ","15-19 Years",162270,154170
" ","20-24 Years",175080,162850
" ","25-29 Years",194470,186020
" ","30-34 Years",187970,188820
" ","35-39 Years",166750,169560
" ","40-44 Years",153190,156040
" ","45-49 Years",161290,168360
" ","50-54 Years",159780,167360
" ","55-59 Years",158010,167900
" ","60-64 Years",141770,150800
" ","65-69 Years",121070,128270
" ","70-74 Years",104060,110280
" ","75-79 Years",69860,77790
" ","80-84 Years",44400,54520
" ","85-89 Years",23130,32360
" ","Under 15 Years",496700,470300
" ","Under 16 Years",528500,500800
" ","Under 18 Years",593200,561900
" ","Under 20 Years",659000,624500
" ","15-39 Years",886600,861400
" ","15-49 Years",1201000,1185800
" ","15-59 Years",1518800,1521100
" ","40-64 Years",774000,810500
" ","15-64 Years",1660600,1671900
" ","15 Years and Over",2034600,2097100
" ","16 Years and Over",2002700,2066600
" ","18 Years and Over",1938000,2005500
" ","20 Years and Over",1872300,1943000
" ","90-94 Years",9260,16430
" ","60 Years and Over",515700,576100
" ","65 Years and Over",374000,425300
" ","75 Years and Over",148800,186700
" ","80 Years and Over",79000,108900
" ","85 Years and Over",34600,54400
" ","90 Years and Over",11450,22050
" ","95 Years and Over",2190,5620
" ","Median Age (Years)",36.4,38.5
" ","Total All Ages",2531200,2567500
"2020Q4","0 Years",30320,28720
" ","1 Years",31020,29590
" ","2 Years",30800,29150
" ","3 Years",31700,30170
" ","4 Years",32610,30840
" ","5 Years",32570,30820
" ","6 Years",33200,31100
" ","7 Years",33110,31520
" ","8 Years",34530,33190
" ","9 Years",34280,32420
" ","10 Years",35050,33230
" ","11 Years",34900,32710
" ","12 Years",34990,32920
" ","13 Years",34510,32750
" ","14 Years",32870,31240
" ","15 Years",32050,30480
" ","16 Years",32190,30610
" ","17 Years",32210,30350
" ","18 Years",32000,30330
" ","19 Years",32930,31470
" ","20 Years",34700,32270
" ","21 Years",33710,31900
" ","22 Years",34040,31630
" ","23 Years",35080,32740
" ","24 Years",36080,33600
" ","25 Years",37220,34250
" ","26 Years",37280,35330
" ","27 Years",38390,36630
" ","28 Years",39990,38490
" ","29 Years",40120,39370
" ","30 Years",40340,39980
" ","31 Years",38890,38900
" ","32 Years",37720,38340
" ","33 Years",37030,37350
" ","34 Years",35340,35600
" ","35 Years",34350,35140
" ","36 Years",33780,34720
" ","37 Years",33530,34020
" ","38 Years",33350,33930
" ","39 Years",32270,32540
" ","40 Years",31890,32410
" ","41 Years",31420,31700
" ","42 Years",30190,31250
" ","43 Years",29850,30770
" ","44 Years",30300,30630
" ","45 Years",30200,31220
" ","46 Years",31240,32390
" ","47 Years",31840,33430
" ","48 Years",33460,34640
" ","49 Years",33620,35220
" ","50 Years",33100,34740
" ","51 Years",32620,34200
" ","52 Years",32330,34040
" ","53 Years",31370,32820
" ","54 Years",30940,32200
" ","55 Years",31050,32520
" ","56 Years",31570,33390
" ","57 Years",32070,34130
" ","58 Years",32170,34170
" ","59 Years",31140,33400
" ","60 Years",30370,32510
" ","61 Years",29260,31060
" ","62 Years",28520,30320
" ","63 Years",27580,29560
" ","64 Years",26980,28400
" ","65 Years",25830,27790
" ","66 Years",25290,26690
" ","67 Years",23840,25600
" ","68 Years",23630,25130
" ","69 Years",22910,23550
" ","70 Years",22170,23820
" ","71 Years",21930,22540
" ","72 Years",21240,22560
" ","73 Years",20830,22350
" ","74 Years",19040,20230
" ","75 Years",16320,17980
" ","76 Years",15020,16410
" ","77 Years",13290,14590
" ","78 Years",12940,14620
" ","79 Years",12730,14760
" ","80 Years",11640,13680
" ","81 Years",10140,12150
" ","82 Years",8820,10900
" ","83 Years",7800,9900
" ","84 Years",6890,8940
" ","85 Years",5870,7670
" ","86 Years",5500,7330
" ","87 Years",4510,6500
" ","88 Years",3930,5770
" ","89 Years",3420,5190
" ","90 Years",2990,4710
" ","91 Years",2350,3970
" ","92 Years",1730,3250
" ","93 Years",1390,2530
" ","94 Years",1010,2140
" ","0-4 Years",156460,148470
" ","5-9 Years",167690,159050
" ","10-14 Years",172320,162840
" ","15-19 Years",161380,153240
" ","20-24 Years",173600,162130
" ","25-29 Years",193000,184070
" ","30-34 Years",189310,190170
" ","35-39 Years",167280,170360
" ","40-44 Years",153640,156750
" ","45-49 Years",160360,166900
" ","50-54 Years",160360,168000
" ","55-59 Years",157990,167610
" ","60-64 Years",142710,151860
" ","65-69 Years",121500,128760
" ","70-74 Years",105210,111500
" ","75-79 Years",70290,78360
" ","80-84 Years",45290,55580
" ","85-89 Years",23230,32460
" ","Under 15 Years",496500,470400
" ","Under 16 Years",528500,500800
" ","Under 18 Years",592900,561800
" ","Under 20 Years",657800,623600
" ","15-39 Years",884600,860000
" ","15-49 Years",1198600,1183600
" ","15-59 Years",1516900,1519200
" ","40-64 Years",775100,811100
" ","15-64 Years",1659600,1671100
" ","15 Years and Over",2036800,2100000
" ","16 Years and Over",2004800,2069600
" ","18 Years and Over",1940400,2008600
" ","20 Years and Over",1875500,1946800
" ","90-94 Years",9470,16590
" ","60 Years and Over",519900,580800
" ","65 Years and Over",377200,428900
" ","75 Years and Over",150500,188700
" ","80 Years and Over",80200,110300
" ","85 Years and Over",34900,54700
" ","90 Years and Over",11700,22270
" ","95 Years and Over",2230,5690
" ","Median Age (Years)",36.5,38.6
" ","Total All Ages",2533300,2570400
"2021Q1","0 Years",30600,29030
" ","1 Years",30550,29400
" ","2 Years",31040,29200
" ","3 Years",31630,30130
" ","4 Years",32360,30600
" ","5 Years",32590,30760
" ","6 Years",33350,31180
" ","7 Years",32880,31150
" ","8 Years",34270,33000
" ","9 Years",34210,32490
" ","10 Years",34970,33120
" ","11 Years",34970,33100
" ","12 Years",35090,32550
" ","13 Years",34620,33090
" ","14 Years",33460,31520
" ","15 Years",32040,30660
" ","16 Years",32220,30540
" ","17 Years",32070,30590
" ","18 Years",32130,30230
" ","19 Years",32380,30930
" ","20 Years",34240,32150
" ","21 Years",34050,32180
" ","22 Years",33690,31180
" ","23 Years",35040,32690
" ","24 Years",35380,32930
" ","25 Years",36890,34110
" ","26 Years",37150,35100
" ","27 Years",37910,35950
" ","28 Years",39340,38100
" ","29 Years",40430,39130
" ","30 Years",40410,40350
" ","31 Years",39240,38950
" ","32 Years",37850,38360
" ","33 Years",37510,38220
" ","34 Years",35690,35580
" ","35 Years",34460,35240
" ","36 Years",33830,34930
" ","37 Years",33590,34100
" ","38 Years",33510,33970
" ","39 Years",32540,32900
" ","40 Years",32150,32340
" ","41 Years",31620,32000
" ","42 Years",30320,31360
" ","43 Years",29960,30850
" ","44 Years",30220,30770
" ","45 Years",30080,30710
" ","46 Years",31110,32260
" ","47 Years",31610,33300
" ","48 Years",33120,34280
" ","49 Years",33670,35060
" ","50 Years",33220,35010
" ","51 Years",32730,34130
" ","52 Years",32620,34070
" ","53 Years",31480,33000
" ","54 Years",30910,32400
" ","55 Years",31110,32300
" ","56 Years",31200,32890
" ","57 Years",31940,33750
" ","58 Years",32110,34480
" ","59 Years",31440,33430
" ","60 Years",30380,32490
" ","61 Years",29530,31270
" ","62 Years",28610,30400
" ","63 Years",27850,29720
" ","64 Years",26780,28460
" ","65 Years",25980,27760
" ","66 Years",25250,26940
" ","67 Years",24170,25640
" ","68 Years",23660,25200
" ","69 Years",22880,23950
" ","70 Years",22240,23450
" ","71 Years",21840,22790
" ","72 Years",21180,22360
" ","73 Years",20810,22270
" ","74 Years",19760,21300
" ","75 Years",16710,18060
" ","76 Years",15060,16550
" ","77 Years",13880,15140
" ","78 Years",12460,14080
" ","79 Years",12840,14980
" ","80 Years",11920,13910
" ","81 Years",10260,12130
" ","82 Years",8960,11250
" ","83 Years",8010,9940
" ","84 Years",6840,8940
" ","85 Years",6020,7830
" ","86 Years",5470,7300
" ","87 Years",4690,6520
" ","88 Years",3850,5840
" ","89 Years",3430,5100
" ","90 Years",3020,4750
" ","91 Years",2410,4000
" ","92 Years",1790,3250
" ","93 Years",1350,2580
" ","94 Years",1050,2120
" ","0-4 Years",156180,148360
" ","5-9 Years",167300,158580
" ","10-14 Years",173120,163380
" ","15-19 Years",160850,152950
" ","20-24 Years",172410,161110
" ","25-29 Years",191720,182390
" ","30-34 Years",190710,191460
" ","35-39 Years",167930,171150
" ","40-44 Years",154270,157310
" ","45-49 Years",159580,165610
" ","50-54 Years",160960,168610
" ","55-59 Years",157800,166860
" ","60-64 Years",143140,152340
" ","65-69 Years",121940,129490
" ","70-74 Years",105830,112170
" ","75-79 Years",70950,78810
" ","80-84 Years",46000,56170
" ","85-89 Years",23460,32590
" ","Under 15 Years",496600,470300
" ","Under 16 Years",528600,501000
" ","Under 18 Years",592900,562100
" ","Under 20 Years",657400,623300
" ","15-39 Years",883600,859100
" ","15-49 Years",1197500,1182000
" ","15-59 Years",1516200,1517400
" ","40-64 Years",775700,810700
" ","15-64 Years",1659300,1669800
" ","15 Years and Over",2039500,2101500
" ","16 Years and Over",2007400,2070900
" ","18 Years and Over",1943100,2009700
" ","20 Years and Over",1878600,1948600
" ","90-94 Years",9620,16700
" ","60 Years and Over",523300,584100
" ","65 Years and Over",380100,431700
" ","75 Years and Over",152300,190100
" ","80 Years and Over",81400,111300
" ","85 Years and Over",35400,55100
" ","90 Years and Over",11920,22500
" ","95 Years and Over",2290,5800
" ","Median Age (Years)",36.6,38.7
