"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","Mean year ended",""
" "," ","Male","Female"
" ","15-64 Years",1532800,1566600
" ","15 Years and Over",1854700,1936900
" ","16 Years and Over",1822700,1906300
" ","18 Years and Over",1757800,1845000
" ","20 Years and Over",1691400,1782700
" ","90-94 Years",7510,15230
" ","60 Years and Over",446900,502100
" ","65 Years and Over",321800,370300
" ","75 Years and Over",127000,165000
" ","80 Years and Over",67800,97500
" ","85 Years and Over",30700,51500
" ","90 Years and Over",9030,19580
" ","95 Years and Over",1520,4360
" ","Median Age (Years)",36.0,38.4
" ","Total All Ages",2329500,2387000
2017,"0 Years",30750,29240
" ","1 Years",30950,29260
" ","2 Years",31290,29450
" ","3 Years",31460,29650
" ","4 Years",32490,31000
" ","5 Years",33010,31410
" ","6 Years",33530,31750
" ","7 Years",33870,32120
" ","8 Years",33870,31530
" ","9 Years",33630,31910
" ","10 Years",32640,30960
" ","11 Years",31170,29750
" ","12 Years",30780,29260
" ","13 Years",30820,29350
" ","14 Years",30910,29060
" ","15 Years",31210,29810
" ","16 Years",32680,31160
" ","17 Years",33210,31380
" ","18 Years",32450,30750
" ","19 Years",33450,31350
" ","20 Years",34380,31800
" ","21 Years",35480,32190
" ","22 Years",35860,32660
" ","23 Years",36150,33060
" ","24 Years",37330,34170
" ","25 Years",38040,35090
" ","26 Years",37730,36180
" ","27 Years",36790,35770
" ","28 Years",35070,34980
" ","29 Years",34250,34960
" ","30 Years",33140,33510
" ","31 Years",31940,32940
" ","32 Years",31230,32770
" ","33 Years",30950,32170
" ","34 Years",30770,31870
" ","35 Years",30110,31230
" ","36 Years",29680,30660
" ","37 Years",29250,30460
" ","38 Years",28550,30120
" ","39 Years",27970,29580
" ","40 Years",28270,29720
" ","41 Years",28420,29730
" ","42 Years",29230,31120
" ","43 Years",30210,32250
" ","44 Years",31360,33350
" ","45 Years",32510,34520
" ","46 Years",32500,34820
" ","47 Years",31960,33930
" ","48 Years",31920,33800
" ","49 Years",31340,33100
" ","50 Years",30740,32440
" ","51 Years",30740,32050
" ","52 Years",30970,32560
" ","53 Years",31720,33360
" ","54 Years",32020,34080
" ","55 Years",31710,33510
" ","56 Years",30770,32810
" ","57 Years",29850,31420
" ","58 Years",29080,30640
" ","59 Years",27940,29640
" ","60 Years",27290,28730
" ","61 Years",26510,27870
" ","62 Years",25630,27210
" ","63 Years",24850,26240
" ","64 Years",24090,25530
" ","65 Years",23750,24700
" ","66 Years",23120,24050
" ","67 Years",22760,23820
" ","68 Years",22470,23170
" ","69 Years",22080,23200
" ","70 Years",21550,22650
" ","71 Years",18540,19600
" ","72 Years",16850,18100
" ","73 Years",15650,16640
" ","74 Years",14100,15270
" ","75 Years",14630,16150
" ","76 Years",14000,15620
" ","77 Years",12610,14250
" ","78 Years",11080,12930
" ","79 Years",10100,11900
" ","80 Years",9110,10950
" ","81 Years",8220,9950
" ","82 Years",7580,9180
" ","83 Years",6850,8670
" ","84 Years",6060,8150
" ","85 Years",5620,7540
" ","86 Years",5220,7180
" ","87 Years",4420,6560
" ","88 Years",3740,5720
" ","89 Years",3080,4940
" ","90 Years",2530,4320
" ","91 Years",1950,3680
" ","92 Years",1510,3110
" ","93 Years",1120,2470
" ","94 Years",810,1940
" ","0-4 Years",156930,148600
" ","5-9 Years",167910,158710
" ","10-14 Years",156330,148370
" ","15-19 Years",163000,154450
" ","20-24 Years",179210,163870
" ","25-29 Years",181880,176990
" ","30-34 Years",158020,163270
" ","35-39 Years",145570,152050
" ","40-44 Years",147490,156170
